INSERT;{"name":"eric","dpi":"3826294264857","datebirth":"1976-10-23T22:41:25.836Z","address":"san antonio"}
INSERT;{"name":"geoffrey","dpi":"1594491145700","datebirth":"1990-07-05T20:29:55.944Z","address":"bakersfield"}
INSERT;{"name":"darwin","dpi":"2516215294611","datebirth":"2002-07-13T13:35:53.632Z","address":"johnson city"}
INSERT;{"name":"leopoldo","dpi":"8812100727113","datebirth":"1978-09-16T15:22:33.818Z","address":"taylorsville"}
INSERT;{"name":"ray","dpi":"3301757537226","datebirth":"1985-07-08T14:07:34.912Z","address":"spokane valley"}
INSERT;{"name":"kendrick","dpi":"7876661975191","datebirth":"1994-11-14T16:09:02.139Z","address":"el centro"}
INSERT;{"name":"isobel","dpi":"1621185213923","datebirth":"1984-08-11T20:46:53.018Z","address":"south bend"}
INSERT;{"name":"filomena","dpi":"4817984221131","datebirth":"1989-05-03T22:35:35.987Z","address":"albany"}
"PATCH;{""name"":""eric""","dpi:""3826294264857""","datebirth:""CAMBIO""","address:""CAMBIO""}"
"PATCH;{""name"":""darwin""","dpi:""2516215294611""","datebirth:""CAMBIO""","address:""CAMBIO""}"
